Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
786O	SARNP kd9	slide4	A3	M47	85	3.741745	-0.520868
786O	SARNP kd3	slide4	B2	M37	198	5.385935	2.0044067
293T	untreated	slide4	B4	M19	463	-2.4604115	0.20553368
786O	TMEM259 kd6	slide4	A4	M46	182	3.3993778	0.09174919
293T	untreated	slide4	B4	M63	303	-0.93285084	-0.762118
293T	untreated	slide4	B4	M27	549	-1.9907274	0.32132515
293T	untreated	slide4	B4	M38	697	-2.6609828	2.5829742
293T	untreated	slide4	B4	M24	715	-3.3327014	1.4762075
293T	untreated	slide4	B4	M7	571	-2.6920915	1.9729716
293T	untreated	slide4	B4	M53	474	-4.246171	1.4435755
293T	untreated	slide4	B4	M2	600	-1.5028716	0.7608104
786O	TMEM259 kd5	slide4	B3	M19	243	2.0416875	1.8629332
293T	untreated	slide4	B4	M10	867	-2.947961	2.6551359
786O	TMEM259 kd5	slide4	B3	M45	136	2.6229122	0.6810499
293T	untreated	slide4	B4	M20	599	-2.8127785	-0.7096867
293T	untreated	slide4	B4	M11	1034	-1.1221639	-1.0998814
293T	untreated	slide4	B4	M23	932	-2.2765458	2.4214592
786O	DDX39A kd4	slide4	A2	M35	112	3.5957317	2.4021583
786O	TMEM259 kd5	slide4	B3	M8	62	2.0778544	1.6286558
293T	untreated	slide4	B4	M41	709	-2.0181422	2.6334846
786O	TMEM259 kd5	slide4	B3	M39	199	1.4100307	2.524473
293T	untreated	slide4	B4	M19	463	-3.8453767	1.2094641
786O	SARNP kd9	slide4	A3	M36	79	3.2489839	1.0270357
786O	SARNP kd3	slide4	B2	M11	46	1.5159501	1.7566007
293T	untreated	slide4	B4	M9	856	-0.9660918	-1.2926102
786O	TMEM259 kd5	slide4	B3	M39	199	2.5074253	2.3717253
293T	untreated	slide4	B4	M31	365	-2.0655994	-0.14628828
786O	NTC	slide4	A1	M33	136	4.4359455	-0.48984286
786O	TMEM259 kd5	slide4	B3	M58	105	2.863393	2.103018
293T	untreated	slide4	B4	M3	650	-3.547715	-0.11862573
786O	TMEM259 kd6	slide4	A4	M32	67	4.073192	3.1327808
293T	untreated	slide4	B4	M46	317	-2.446317	1.0515344
786O	SARNP kd3	slide4	B2	M21	208	14.203657	-0.39021227
786O	TMEM259 kd6	slide4	A4	M59	96	4.295438	2.4474015
786O	TMEM259 kd6	slide4	A4	M46	182	3.2439518	3.8158424
293T	untreated	slide4	B4	M43	517	-1.6634481	3.6768556
293T	untreated	slide4	B4	M26	678	-2.706572	1.8227348
293T	untreated	slide4	B4	M2	600	-1.1484746	0.20735767
786O	SARNP kd9	slide4	A3	M47	85	5.2373233	2.5516295
786O	TMEM259 kd5	slide4	B3	M42	164	4.7952924	2.398239
786O	NTC	slide4	A1	M6	55	4.296755	0.32758334
293T	untreated	slide4	B4	M13	726	-2.1384223	1.6929278
786O	TMEM259 kd5	slide4	B3	M11	40	3.0672438	1.5405129
786O	TMEM259 kd6	slide4	A4	M31	211	3.5651817	-0.8439754
786O	TMEM259 kd6	slide4	A4	M51	178	1.5013222	2.0255516
786O	NTC	slide4	A1	M32	71	5.806516	0.2467009
