Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
786O	DDX39A kd4	slide4	A2	M38	97	3.4974713	4.0015936
786O	SARNP kd9	slide4	A3	M11	49	6.188717	0.98701274
786O	TMEM259 kd6	slide4	A4	M31	211	2.2586443	1.1465087
293T	untreated	slide4	B4	M45	335	-3.2195706	1.5660155
293T	untreated	slide4	B4	M60	979	-3.8412333	1.422445
786O	SARNP kd3	slide4	B2	M43	160	2.261873	2.628215
786O	TMEM259 kd5	slide4	B3	M43	142	2.4080005	-0.02583029
786O	TMEM259 kd5	slide4	B3	M17	38	0.8328604	-0.5134959
786O	TMEM259 kd5	slide4	B3	M19	243	3.138932	2.8145518
786O	TMEM259 kd6	slide4	A4	M22	158	2.5543132	3.685973
293T	untreated	slide4	B4	M9	856	-3.2209892	2.5062106
293T	untreated	slide4	B4	M56	751	-0.13220766	1.1404233
786O	TMEM259 kd5	slide4	B3	M60	64	3.3483806	3.4377334
293T	untreated	slide4	B4	M46	317	-3.0104775	2.5783062
786O	TMEM259 kd5	slide4	B3	M46	180	3.2010603	3.4244268
786O	TMEM259 kd5	slide4	B3	M35	185	1.5304585	2.251724
786O	TMEM259 kd6	slide4	A4	M18	98	2.181254	-0.24709934
293T	untreated	slide4	B4	M56	751	-0.9687998	0.115337424
293T	untreated	slide4	B4	M42	593	-3.0444713	0.107340276
