Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
786O	ALY kd5	slide3	B1	M27	204	-0.062052872	-1.7753891
786O	SART1 kd4	slide3	B2	M20	91	-1.2605047	-0.98664945
293T	untreated	slide3	B4	M41	385	-2.8873868	3.6816466
293T	untreated	slide3	B4	M14	717	-2.668935	4.0878325
786O	FIBP kd7	slide3	A4	M34	107	-0.23555955	-0.9572051
293T	untreated	slide3	B4	M37	389	-2.3200653	5.9924126
293T	untreated	slide3	B4	M41	385	0.59939796	6.1036634
786O	SART1 kd4	slide3	B2	M43	86	1.807242	1.0343778
786O	SART1 kd4	slide3	B2	M45	86	-0.021220889	-2.9921887
293T	untreated	slide3	B4	M24	639	-1.8712308	4.4584494
786O	ALY kd8	slide3	A2	M9	51	-0.0071619246	-0.14482096
293T	untreated	slide3	B4	M5	569	-0.18939854	5.6804
293T	untreated	slide3	B4	M45	544	-1.7835634	5.6739316
293T	untreated	slide3	B4	M42	421	-2.1205902	5.2284484
293T	untreated	slide3	B4	M45	544	-0.8716872	5.4397507
293T	untreated	slide3	B4	M6	518	-2.844641	3.3207035
786O	FIBP kd7	slide3	A4	M12	123	-0.5614266	-0.78742015
293T	untreated	slide3	B4	M40	423	-2.4208155	3.5131075
786O	ALY kd5	slide3	B1	M21	189	-0.89382267	-0.0016747908
786O	ALY kd8	slide3	A2	M12	158	2.7156057	-1.5060138
786O	FIBP kd6	slide3	B3	M55	50	0.36416996	-2.964378
786O	FIBP kd7	slide3	A4	M9	17	2.1443741	-1.5256146
293T	untreated	slide3	B4	M37	389	0.65812415	5.1257963
786O	ALY kd8	slide3	A2	M19	201	2.3455846	-2.418386
293T	untreated	slide3	B4	M10	595	-1.6039097	4.562613
293T	untreated	slide3	B4	M47	537	1.1058118	4.7198186
293T	untreated	slide3	B4	M51	742	-0.85359097	9.893153
293T	untreated	slide3	B4	M10	595	-0.48041666	2.6390042
786O	SART1 kd4	slide3	B2	M42	76	1.4113829	-1.5693898
293T	untreated	slide3	B4	M42	421	-0.93187064	6.4851103
786O	FIBP kd6	slide3	B3	M4	48	0.18420607	-2.1122463
293T	untreated	slide3	B4	M15	569	-2.9242172	4.995932
786O	ALY kd8	slide3	A2	M30	164	0.22514191	0.49831483
786O	FIBP kd6	slide3	B3	M42	67	8.308944	5.773713
786O	FIBP kd6	slide3	B3	M36	119	-0.15694118	-1.0962399
786O	ALY kd5	slide3	B1	M14	72	-0.2619804	-0.05740713
293T	untreated	slide3	B4	M26	455	-0.31750354	4.0055537
786O	SART1 kd6	slide3	A3	M15	66	1.0600096	-3.363772
293T	untreated	slide3	B4	M52	812	-0.36556253	5.7788215
293T	untreated	slide3	B4	M45	544	-3.12118	3.2173574
293T	untreated	slide3	B4	M51	742	-1.0680739	9.666976
293T	untreated	slide3	B4	M34	414	3.93396	5.6692667
786O	FIBP kd6	slide3	B3	M36	119	1.7970759	-0.17094614
293T	untreated	slide3	B4	M62	90	4.5726843	5.333612
786O	SART1 kd4	slide3	B2	M32	54	2.1861453	0.6566363
786O	ALY kd5	slide3	B1	M29	134	2.3356578	0.31155777
786O	SART1 kd4	slide3	B2	M4	53	2.367461	0.7865672
786O	ALY kd8	slide3	A2	M47	167	2.1593606	1.2612361
293T	untreated	slide3	B4	M14	717	-0.66247475	6.150374
786O	FIBP kd7	slide3	A4	M23	85	0.76432747	0.57024354
786O	ALY kd5	slide3	B1	M20	152	0.23817196	-1.9916023
293T	untreated	slide3	B4	M29	382	1.5366526	4.3293843
293T	untreated	slide3	B4	M29	382	-2.9234207	2.6114972
786O	FIBP kd7	slide3	A4	M12	123	1.676975	1.637846
293T	untreated	slide3	B4	M23	379	-1.5987612	3.6693208
293T	untreated	slide3	B4	M40	423	0.34726015	5.5264745
293T	untreated	slide3	B4	M3	692	-2.1167395	5.3815646
786O	ALY kd8	slide3	A2	M34	196	0.77893347	-0.34729633
293T	untreated	slide3	B4	M40	423	1.0806903	4.4107795
293T	untreated	slide3	B4	M8	641	-2.8133047	5.3656893
293T	untreated	slide3	B4	M49	477	-1.8578905	3.914878
786O	FIBP kd7	slide3	A4	M18	63	0.83762616	1.0242426
293T	untreated	slide3	B4	M29	382	0.64317375	4.281342
786O	FIBP kd6	slide3	B3	M19	229	2.5074637	-0.8559686
786O	FIBP kd6	slide3	B3	M36	119	1.4617347	-0.2795581
293T	untreated	slide3	B4	M46	422	-2.703624	4.0901957
293T	untreated	slide3	B4	M28	334	-2.8855333	5.6925325
786O	FIBP kd7	slide3	A4	M13	94	2.1885011	0.059473436
786O	ALY kd8	slide3	A2	M52	151	0.6793826	-2.4446762
786O	SART1 kd6	slide3	A3	M29	138	2.3200474	0.21375702
293T	untreated	slide3	B4	M42	421	-2.9880102	2.8829653
