Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
786O	ALY kd8	slide3	A2	M27	163	2.0300398	0.7646575
786O	ALY kd8	slide3	A2	M22	155	0.28879696	1.3044826
293T	untreated	slide3	B4	M16	245	1.128071	4.950361
293T	untreated	slide3	B4	M23	379	0.038090177	5.584532
786O	ALY kd8	slide3	A2	M29	156	1.9557784	1.6503123
786O	FIBP kd6	slide3	B3	M38	187	-0.54263026	0.13427491
786O	ALY kd8	slide3	A2	M45	118	0.95420855	1.8253001
293T	untreated	slide3	B4	M48	380	1.4215264	4.920402
786O	ALY kd8	slide3	A2	M21	167	-1.1011595	-0.9749542
786O	NTC	slide3	A1	M37	181	1.0663035	2.6435678
786O	FIBP kd6	slide3	B3	M22	272	1.968067	-1.4585272
786O	NTC	slide3	A1	M38	238	2.6039288	-0.8470295
293T	untreated	slide3	B4	M47	537	-3.060229	3.632694
786O	FIBP kd7	slide3	A4	M62	35	0.83779347	-0.11317025
293T	untreated	slide3	B4	M29	382	-2.698386	2.9010196
293T	untreated	slide3	B4	M30	492	-1.4612039	5.3018613
293T	untreated	slide3	B4	M38	277	-2.8904502	3.6775334
293T	untreated	slide3	B4	M10	595	-0.6150771	2.592916
786O	ALY kd8	slide3	A2	M20	160	-0.24648346	0.08837813
786O	FIBP kd6	slide3	B3	M22	272	2.4029365	-0.8750844
786O	ALY kd8	slide3	A2	M43	145	-0.02815863	-0.9196604
293T	untreated	slide3	B4	M15	569	-1.8742838	4.184503
786O	ALY kd5	slide3	B1	M20	152	1.7247336	-1.418489
293T	untreated	slide3	B4	M37	389	4.384866	5.881
786O	SART1 kd6	slide3	A3	M13	89	2.4149935	-0.31995946
293T	untreated	slide3	B4	M8	641	-2.8945718	3.6003807
293T	untreated	slide3	B4	M38	277	4.0410028	6.497709
786O	SART1 kd6	slide3	A3	M7	90	1.2337396	-0.21880707
786O	ALY kd8	slide3	A2	M5	99	2.075961	0.8019139
786O	SART1 kd6	slide3	A3	M58	90	0.22088076	1.309972
293T	untreated	slide3	B4	M27	255	2.6631138	4.0009675
786O	SART1 kd4	slide3	B2	M56	86	-0.005790735	-3.4584749
786O	SART1 kd6	slide3	A3	M28	146	-0.292707	-0.31674957
786O	FIBP kd7	slide3	A4	M25	50	-0.6904963	-0.5897023
786O	ALY kd8	slide3	A2	M51	153	3.1970253	-1.5592304
293T	untreated	slide3	B4	M11	495	1.1952965	3.3293967
293T	untreated	slide3	B4	M55	685	-2.4108188	6.4471374
786O	FIBP kd6	slide3	B3	M13	223	0.98039985	1.3674116
786O	SART1 kd4	slide3	B2	M41	86	0.98366666	-3.7928672
786O	NTC	slide3	A1	M36	128	-0.31320658	1.2473246
293T	untreated	slide3	B4	M2	590	-0.02982209	5.081282
786O	SART1 kd6	slide3	A3	M12	98	-0.7820792	0.30690703
293T	untreated	slide3	B4	M9	570	-2.4074636	6.090519
293T	untreated	slide3	B4	M7	513	-2.3927662	4.8682413
293T	untreated	slide3	B4	M7	513	0.5239107	4.1466975
293T	untreated	slide3	B4	M25	532	-0.97996026	6.0433526
293T	untreated	slide3	B4	M5	569	0.42758787	5.2518344
786O	FIBP kd6	slide3	B3	M45	105	-0.4630755	-2.6041348
293T	untreated	slide3	B4	M23	379	-3.4164975	4.2199025
786O	ALY kd5	slide3	B1	M21	189	3.0117006	-0.90975976
786O	ALY kd5	slide3	B1	M38	189	2.2170947	0.11600649
293T	untreated	slide3	B4	M48	380	-2.2914953	4.335394
293T	untreated	slide3	B4	M53	939	-2.5419059	5.416715
293T	untreated	slide3	B4	M14	717	-2.123792	4.101019
293T	untreated	slide3	B4	M4	664	1.4712594	5.2981453
786O	FIBP kd6	slide3	B3	M29	193	1.2006444	-3.0695708
293T	untreated	slide3	B4	M43	495	-0.5294392	4.846207
293T	untreated	slide3	B4	M19	519	0.93550587	5.048751
293T	untreated	slide3	B4	M56	553	-2.7658172	2.3724675
293T	untreated	slide3	B4	M28	334	-1.3073229	5.105858
293T	untreated	slide3	B4	M5	569	-2.122481	4.03473
293T	untreated	slide3	B4	M47	537	-0.18210751	6.3620243
786O	FIBP kd6	slide3	B3	M11	272	-0.16604188	2.485789
786O	ALY kd8	slide3	A2	M57	124	-0.008008502	-0.2756272
786O	NTC	slide3	A1	M45	97	2.9035094	-2.3218026
786O	ALY kd8	slide3	A2	M19	201	2.9073284	-1.9657077
786O	SART1 kd4	slide3	B2	M25	61	-0.371192	-2.3529043
786O	FIBP kd7	slide3	A4	M34	107	-0.34496117	-1.3261998
786O	FIBP kd7	slide3	A4	M19	124	2.6914523	-0.68727684
293T	untreated	slide3	B4	M54	790	-1.5939348	3.154376
293T	untreated	slide3	B4	M47	537	-0.3067282	5.4317183
786O	ALY kd5	slide3	B1	M20	152	-0.42151946	-0.006911999
786O	SART1 kd6	slide3	A3	M21	189	1.7831335	-1.5076
786O	SART1 kd6	slide3	A3	M3	69	-1.0910742	-0.70182306
293T	untreated	slide3	B4	M36	345	-1.9199694	4.0602465
293T	untreated	slide3	B4	M9	570	-2.7858164	2.8479955
293T	untreated	slide3	B4	M12	574	4.1788855	6.35598
786O	FIBP kd7	slide3	A4	M59	80	2.402856	0.44203293
786O	ALY kd8	slide3	A2	M11	147	2.2633245	-3.043571
293T	untreated	slide3	B4	M50	716	-1.0298588	9.929016
293T	untreated	slide3	B4	M7	513	1.0295402	5.630654
293T	untreated	slide3	B4	M41	385	-1.9030372	5.8155227
293T	untreated	slide3	B4	M25	532	-0.85609907	2.6502757
293T	untreated	slide3	B4	M14	717	-2.1080344	5.165008
293T	untreated	slide3	B4	M17	310	-2.9038656	2.8876312
786O	FIBP kd7	slide3	A4	M13	94	1.2331407	-1.0530275
786O	SART1 kd4	slide3	B2	M39	104	3.0430598	-1.4756864
293T	untreated	slide3	B4	M18	529	0.082135946	5.0057282
293T	untreated	slide3	B4	M26	455	-0.5362956	5.7500343
786O	SART1 kd6	slide3	A3	M10	49	2.0697458	1.8617014
786O	FIBP kd6	slide3	B3	M28	212	-0.4669255	-0.36902973
293T	untreated	slide3	B4	M49	477	-1.5137142	5.3147573
293T	untreated	slide3	B4	M30	492	-0.15474208	5.237059
293T	untreated	slide3	B4	M8	641	0.19252972	4.621593
786O	FIBP kd6	slide3	B3	M14	183	0.92267096	-0.677015
786O	FIBP kd7	slide3	A4	M35	85	-0.32870218	0.04790333
786O	NTC	slide3	A1	M43	104	2.2614422	-0.23348343
293T	untreated	slide3	B4	M46	422	-0.93873733	4.3151684
786O	FIBP kd6	slide3	B3	M26	116	-0.14439175	-1.7431058
293T	untreated	slide3	B4	M54	790	-2.8437517	5.2563386
786O	ALY kd8	slide3	A2	M27	163	-0.7191032	-0.77565026
786O	SART1 kd6	slide3	A3	M37	152	-1.0136794	-0.36100587
293T	untreated	slide3	B4	M9	570	-1.8863437	5.0100803
786O	NTC	slide3	A1	M36	128	-0.38345173	0.9242628
786O	ALY kd8	slide3	A2	M64	80	1.4502887	0.0934069
293T	untreated	slide3	B4	M3	692	-1.5899471	5.446371
293T	untreated	slide3	B4	M25	532	-1.89002	4.3209147
786O	SART1 kd6	slide3	A3	M29	138	-0.8287638	-1.1290802
786O	SART1 kd6	slide3	A3	M20	177	1.6310735	-1.3376039
293T	untreated	slide3	B4	M14	717	-2.533826	3.8947191
293T	untreated	slide3	B4	M24	639	-0.42074585	6.240647
786O	FIBP kd7	slide3	A4	M20	152	0.2565698	0.34149867
293T	untreated	slide3	B4	M41	385	-2.6992955	1.9054204
293T	untreated	slide3	B4	M30	492	0.19309683	3.8886147
786O	FIBP kd6	slide3	B3	M20	205	0.84563214	1.3352191
786O	ALY kd8	slide3	A2	M64	80	2.416009	-0.6735299
786O	ALY kd5	slide3	B1	M20	152	2.7100365	-2.081157
786O	SART1 kd6	slide3	A3	M35	43	1.2632519	0.6235179
786O	FIBP kd6	slide3	B3	M26	116	0.049646594	0.22649719
786O	ALY kd5	slide3	B1	M35	108	1.8516444	0.0033534067
786O	FIBP kd7	slide3	A4	M37	82	-0.88150465	0.9676348
786O	FIBP kd6	slide3	B3	M28	212	2.9724836	-1.824538
786O	ALY kd8	slide3	A2	M43	145	-0.41968027	-1.420232
293T	untreated	slide3	B4	M2	590	0.35924682	5.7410626
293T	untreated	slide3	B4	M21	572	-2.4694467	6.33022
786O	SART1 kd6	slide3	A3	M37	152	2.300827	1.0539614
293T	untreated	slide3	B4	M23	379	0.34651762	5.972371
786O	FIBP kd6	slide3	B3	M22	272	-2.3360035	2.6077573
786O	FIBP kd7	slide3	A4	M63	26	2.072222	-2.2579699
786O	FIBP kd7	slide3	A4	M43	112	2.9779675	-2.2027092
786O	SART1 kd6	slide3	A3	M28	146	1.8308305	-0.38839382
786O	SART1 kd4	slide3	B2	M37	84	0.09347606	0.30575255
786O	ALY kd8	slide3	A2	M38	177	2.632201	-0.3693417
786O	ALY kd8	slide3	A2	M9	51	2.6790218	-1.6739583
293T	untreated	slide3	B4	M40	423	-2.6252697	2.7139077
293T	untreated	slide3	B4	M29	382	-2.5545318	2.6197233
293T	untreated	slide3	B4	M2	590	-1.6535141	4.5837154
786O	FIBP kd7	slide3	A4	M19	124	2.6597452	-2.7342422
293T	untreated	slide3	B4	M47	537	0.8212891	5.706159
293T	untreated	slide3	B4	M52	812	-0.82386464	5.9534707
293T	untreated	slide3	B4	M24	639	-2.4743977	5.115839
293T	untreated	slide3	B4	M44	348	-0.43530127	2.9105542
786O	ALY kd5	slide3	B1	M59	84	1.9545594	-1.4914577
786O	FIBP kd7	slide3	A4	M22	144	-0.23366833	-0.70271903
786O	ALY kd8	slide3	A2	M44	99	2.3854268	-1.1815579
786O	NTC	slide3	A1	M28	117	-1.2930169	0.76843077
786O	SART1 kd4	slide3	B2	M27	97	3.0695505	-1.1554271
293T	untreated	slide3	B4	M24	639	-1.6975561	4.875939
293T	untreated	slide3	B4	M43	495	-1.831878	4.8173738
786O	SART1 kd4	slide3	B2	M46	55	2.8079536	-0.15445347
786O	NTC	slide3	A1	M38	238	2.3615339	-1.4908023
293T	untreated	slide3	B4	M51	742	4.571554	5.5956936
293T	untreated	slide3	B4	M8	641	-0.63943803	6.42805
786O	ALY kd8	slide3	A2	M35	158	1.8358433	-1.6636792
293T	untreated	slide3	B4	M13	733	-1.8150493	5.67585
786O	NTC	slide3	A1	M38	238	2.1516988	0.82503086
786O	SART1 kd4	slide3	B2	M45	86	1.7522857	-1.9728272
786O	ALY kd8	slide3	A2	M36	139	2.5694604	0.8699402
786O	SART1 kd4	slide3	B2	M31	67	2.3820927	-1.8768314
786O	ALY kd8	slide3	A2	M18	128	-1.0222373	-0.5271236
786O	ALY kd5	slide3	B1	M37	157	-1.1799141	-1.172575
786O	ALY kd8	slide3	A2	M63	59	1.9443609	-3.0582957
293T	untreated	slide3	B4	M7	513	0.45478985	3.526684
786O	ALY kd8	slide3	A2	M48	82	2.9667492	-1.0345922
293T	untreated	slide3	B4	M14	717	-1.4098214	6.5494995
293T	untreated	slide3	B4	M30	492	4.0808554	6.436212
293T	untreated	slide3	B4	M31	429	1.2721076	5.4535418
786O	NTC	slide3	A1	M36	128	-1.2182504	0.24180509
293T	untreated	slide3	B4	M14	717	-2.4997482	3.8667738
786O	FIBP kd6	slide3	B3	M20	205	0.09695018	1.2315807
786O	FIBP kd6	slide3	B3	M23	143	-1.4419068	-1.3187182
786O	FIBP kd7	slide3	A4	M54	71	3.0525467	-0.7572147
293T	untreated	slide3	B4	M27	255	-2.4415839	4.2924533
786O	SART1 kd4	slide3	B2	M43	86	0.70763165	-1.7350157
786O	ALY kd8	slide3	A2	M7	54	8.697521	5.4434032
293T	untreated	slide3	B4	M11	495	-2.7783768	3.560089
293T	untreated	slide3	B4	M51	742	-0.65725636	10.070132
293T	untreated	slide3	B4	M51	742	-1.2037873	9.683247
786O	FIBP kd6	slide3	B3	M13	223	2.101597	1.0267904
293T	untreated	slide3	B4	M31	429	-1.1210344	6.16819
786O	FIBP kd7	slide3	A4	M39	57	2.2069914	0.14697999
293T	untreated	slide3	B4	M26	455	0.40488157	3.3842356
786O	SART1 kd6	slide3	A3	M25	23	3.1563153	-3.4312549
786O	ALY kd5	slide3	B1	M48	33	1.4960728	-1.9369991
786O	SART1 kd4	slide3	B2	M56	86	0.95563895	-3.7219427
786O	ALY kd5	slide3	B1	M48	33	1.0377238	0.1915356
786O	ALY kd5	slide3	B1	M29	134	-0.9270965	0.5411654
293T	untreated	slide3	B4	M42	421	0.43897942	2.754682
786O	FIBP kd7	slide3	A4	M4	34	-0.22856276	-1.1801424
293T	untreated	slide3	B4	M16	245	-2.6537366	6.278432
293T	untreated	slide3	B4	M28	334	4.26497	6.216577
293T	untreated	slide3	B4	M24	639	-0.4956837	5.3997464
786O	ALY kd8	slide3	A2	M52	151	-0.014141759	-0.5389585
293T	untreated	slide3	B4	M55	685	-1.8129101	6.1664505
786O	ALY kd8	slide3	A2	M61	81	1.9663912	-2.809472
786O	SART1 kd4	slide3	B2	M21	90	-0.9476579	-0.41560742
786O	FIBP kd7	slide3	A4	M18	63	1.3241755	-0.22443295
293T	untreated	slide3	B4	M35	482	-1.0510405	5.7444005
786O	FIBP kd6	slide3	B3	M13	223	2.9157674	-0.5655722
786O	NTC	slide3	A1	M30	59	-0.7642041	-0.58083886
293T	untreated	slide3	B4	M2	590	1.0623667	4.294713
293T	untreated	slide3	B4	M5	569	-0.96733314	4.4943357
786O	ALY kd5	slide3	B1	M28	130	2.0763369	1.835842
786O	ALY kd8	slide3	A2	M9	51	-0.49284774	-2.1253495
786O	SART1 kd6	slide3	A3	M36	101	0.018848557	-0.5920847
786O	SART1 kd6	slide3	A3	M38	178	2.1488957	-0.8118009
293T	untreated	slide3	B4	M53	939	-0.37831065	6.1650662
293T	untreated	slide3	B4	M38	277	-2.1887984	2.080691
293T	untreated	slide3	B4	M25	532	0.2872765	6.1154613
786O	NTC	slide3	A1	M30	59	0.6261427	1.7108965
293T	untreated	slide3	B4	M54	790	-1.5986319	4.4529467
786O	SART1 kd4	slide3	B2	M31	67	0.23450881	-0.07764931
786O	NTC	slide3	A1	M45	97	-1.1379983	-1.4068402
293T	untreated	slide3	B4	M12	574	-0.5184704	5.0921297
293T	untreated	slide3	B4	M43	495	-2.244988	6.006743
786O	FIBP kd6	slide3	B3	M37	144	3.0305376	-1.8499122
786O	ALY kd5	slide3	B1	M9	56	-0.56432366	-1.4621625
786O	SART1 kd6	slide3	A3	M5	53	0.73905605	-1.8062886
786O	SART1 kd4	slide3	B2	M61	77	-0.3404147	-0.10970389
786O	ALY kd5	slide3	B1	M61	43	1.3867712	-2.5354662
786O	FIBP kd7	slide3	A4	M22	144	2.457581	-0.8770637
786O	ALY kd5	slide3	B1	M12	118	-0.702331	-0.12999687
786O	FIBP kd6	slide3	B3	M27	243	1.6836817	-2.8608084
293T	untreated	slide3	B4	M56	553	-1.7732923	4.8908005
293T	untreated	slide3	B4	M64	41	-2.9241512	4.4626913
293T	untreated	slide3	B4	M8	641	-0.09419443	5.726375
786O	NTC	slide3	A1	M43	104	-0.86252135	0.63964564
293T	untreated	slide3	B4	M16	245	-2.7407594	5.193993
786O	FIBP kd7	slide3	A4	M18	63	2.4066184	2.3507223
786O	ALY kd5	slide3	B1	M59	84	1.4179363	0.8803722
786O	SART1 kd4	slide3	B2	M34	94	1.0423602	0.06903323
786O	ALY kd5	slide3	B1	M19	159	2.2474923	-1.8074164
293T	untreated	slide3	B4	M24	639	0.34105098	5.097374
786O	SART1 kd4	slide3	B2	M46	55	4.7631154	5.234324
293T	untreated	slide3	B4	M54	790	-3.3327818	4.3020434
293T	untreated	slide3	B4	M34	414	-3.0967238	3.6698806
786O	SART1 kd4	slide3	B2	M38	111	-0.8507238	-0.12550507
786O	ALY kd8	slide3	A2	M35	158	2.0574205	-2.60858
786O	ALY kd8	slide3	A2	M19	201	1.2216988	0.1295378
293T	untreated	slide3	B4	M41	385	-0.93841887	3.782503
786O	ALY kd8	slide3	A2	M3	50	2.7544289	-1.3811414
786O	FIBP kd7	slide3	A4	M8	36	2.3701763	-0.40423247
293T	untreated	slide3	B4	M29	382	-1.2747676	5.9967647
786O	ALY kd8	slide3	A2	M18	128	2.4374835	0.83284426
786O	SART1 kd4	slide3	B2	M52	65	1.8771883	-3.2434418
293T	untreated	slide3	B4	M15	569	-2.527023	5.39946
293T	untreated	slide3	B4	M52	812	-2.045614	4.6921916
293T	untreated	slide3	B4	M8	641	-1.3724555	4.003502
293T	untreated	slide3	B4	M4	664	-0.9943798	5.5002728
293T	untreated	slide3	B4	M2	590	-2.1340349	1.867569
786O	FIBP kd6	slide3	B3	M28	212	0.66859037	0.39363748
293T	untreated	slide3	B4	M20	480	-1.633341	4.4946136
293T	untreated	slide3	B4	M19	519	0.8646485	5.1428847
786O	ALY kd5	slide3	B1	M28	130	2.7517605	-0.26043183
293T	untreated	slide3	B4	M33	409	0.8643424	5.938859
293T	untreated	slide3	B4	M2	590	-1.1339424	5.327901
293T	untreated	slide3	B4	M26	455	-2.7819383	5.247601
293T	untreated	slide3	B4	M14	717	-2.0244048	6.2655873
786O	FIBP kd6	slide3	B3	M53	55	0.052602038	5.360143
293T	untreated	slide3	B4	M14	717	-2.7425375	5.3806815
293T	untreated	slide3	B4	M16	245	-1.5139259	5.230512
293T	untreated	slide3	B4	M22	538	0.68171686	5.2391353
293T	untreated	slide3	B4	M58	67	-0.7697319	6.13515
293T	untreated	slide3	B4	M8	641	1.5663308	4.516554
293T	untreated	slide3	B4	M8	641	-2.4826307	5.694026
786O	ALY kd5	slide3	B1	M31	62	2.3946345	1.1676322
293T	untreated	slide3	B4	M34	414	1.2122861	4.6148763
786O	SART1 kd6	slide3	A3	M21	189	2.7221744	-1.6654795
786O	ALY kd8	slide3	A2	M60	54	1.6675873	0.93530977
786O	FIBP kd7	slide3	A4	M28	119	0.40783536	-1.1939852
293T	untreated	slide3	B4	M7	513	-2.2263484	3.6622207
293T	untreated	slide3	B4	M52	812	2.919839	-0.69803965
293T	untreated	slide3	B4	M12	574	-2.3647127	5.0588236
293T	untreated	slide3	B4	M28	334	-1.7850418	3.7196445
293T	untreated	slide3	B4	M12	574	1.120269	4.578628
786O	ALY kd8	slide3	A2	M11	147	0.12035057	-3.3147964
786O	ALY kd8	slide3	A2	M15	104	3.2378542	-1.5837675
293T	untreated	slide3	B4	M19	519	-3.085911	4.977547
293T	untreated	slide3	B4	M31	429	-0.74245286	2.3668623
786O	NTC	slide3	A1	M44	101	2.6913457	-0.93442637
786O	FIBP kd7	slide3	A4	M29	96	1.7242776	-0.5785943
786O	ALY kd5	slide3	B1	M30	111	2.4160137	-1.9574387
786O	NTC	slide3	A1	M18	72	-1.0165471	-1.5420678
786O	ALY kd8	slide3	A2	M19	201	2.4032054	-3.0292792
293T	untreated	slide3	B4	M39	332	1.1416174	3.8348916
786O	FIBP kd6	slide3	B3	M12	269	2.4101171	1.4835882
293T	untreated	slide3	B4	M19	519	-0.219698	6.0683813
786O	ALY kd8	slide3	A2	M26	140	0.11745731	-0.30761898
293T	untreated	slide3	B4	M8	641	3.9098046	6.478912
293T	untreated	slide3	B4	M54	790	1.0142993	4.8097615
786O	ALY kd8	slide3	A2	M3	50	-0.7381955	-0.8248261
293T	untreated	slide3	B4	M53	939	-1.7042489	4.5911527
293T	untreated	slide3	B4	M15	569	4.272895	6.1786575
786O	FIBP kd7	slide3	A4	M46	59	-1.9403958	5.389405
293T	untreated	slide3	B4	M14	717	0.18592541	5.955352
786O	ALY kd8	slide3	A2	M31	174	-0.8476919	-0.8953599
786O	ALY kd5	slide3	B1	M58	96	-0.3749686	-0.20926355
786O	FIBP kd7	slide3	A4	M51	68	2.7907925	-0.24294747
293T	untreated	slide3	B4	M14	717	0.28956378	3.6875172
293T	untreated	slide3	B4	M38	277	-0.029407876	5.071344
786O	ALY kd8	slide3	A2	M29	156	3.191852	-1.1842623
786O	ALY kd5	slide3	B1	M35	108	0.87520665	0.2707561
786O	ALY kd5	slide3	B1	M44	60	2.3394303	0.42558682
293T	untreated	slide3	B4	M24	639	-3.2923894	3.2610009
786O	SART1 kd4	slide3	B2	M20	91	1.366977	-2.7560067
786O	ALY kd8	slide3	A2	M33	130	-0.35639936	-3.0109227
293T	untreated	slide3	B4	M4	664	1.1373414	4.280117
786O	ALY kd8	slide3	A2	M19	201	1.2110735	0.95296633
786O	SART1 kd4	slide3	B2	M6	29	-0.05183266	-0.8396828
293T	untreated	slide3	B4	M41	385	-2.342603	3.7037892
786O	SART1 kd4	slide3	B2	M45	86	0.48484197	0.32706776
786O	ALY kd8	slide3	A2	M19	201	2.1109679	-3.1762137
293T	untreated	slide3	B4	M42	421	-1.2300854	3.7665126
786O	ALY kd8	slide3	A2	M15	104	-0.977151	-0.27680978
293T	untreated	slide3	B4	M44	348	-0.9684252	5.3090987
293T	untreated	slide3	B4	M35	482	-0.38298053	4.7372746
293T	untreated	slide3	B4	M30	492	0.7662311	3.2245228
293T	untreated	slide3	B4	M50	716	-0.71379936	10.160771
293T	untreated	slide3	B4	M2	590	-1.7518811	2.63197
786O	ALY kd8	slide3	A2	M15	104	0.37896514	-2.2745907
786O	SART1 kd6	slide3	A3	M12	98	0.91715074	1.128987
293T	untreated	slide3	B4	M53	939	0.27708283	6.0844626
293T	untreated	slide3	B4	M22	538	-1.66815	4.546414
293T	untreated	slide3	B4	M27	255	-0.62764126	4.937654
293T	untreated	slide3	B4	M5	569	-0.30575374	5.8837776
293T	untreated	slide3	B4	M11	495	-2.2281392	1.9678636
293T	untreated	slide3	B4	M20	480	0.48688275	2.840225
786O	FIBP kd6	slide3	B3	M52	29	8.422941	5.8454957
293T	untreated	slide3	B4	M36	345	0.3552045	5.728742
786O	ALY kd5	slide3	B1	M43	118	-0.648996	-0.5447785
786O	ALY kd8	slide3	A2	M6	53	-0.41837856	-1.6954095
293T	untreated	slide3	B4	M16	245	0.34824848	3.3870347
786O	ALY kd8	slide3	A2	M4	47	2.6113498	0.7068479
293T	untreated	slide3	B4	M3	692	0.9575388	5.535165
293T	untreated	slide3	B4	M18	529	-2.7049801	3.7949064
786O	SART1 kd6	slide3	A3	M7	90	-0.27246803	-0.95568514
293T	untreated	slide3	B4	M47	537	-0.23763491	4.9352794
293T	untreated	slide3	B4	M10	595	-2.5971274	6.2729506
786O	FIBP kd7	slide3	A4	M35	85	-0.8855504	0.16923398
786O	ALY kd8	slide3	A2	M38	177	-0.053854115	0.24054344
786O	ALY kd8	slide3	A2	M45	118	-0.6563507	-2.3891819
293T	untreated	slide3	B4	M18	529	0.122293435	5.269039
293T	untreated	slide3	B4	M44	348	-1.5092187	1.926731
786O	ALY kd5	slide3	B1	M60	70	0.49326226	-1.527919
786O	FIBP kd6	slide3	B3	M18	53	-0.9871362	0.89085954
786O	FIBP kd6	slide3	B3	M12	269	2.3901737	1.1149122
