Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
293T	untreated	slide1	B4	M43	516	1.1561769	5.918948
293T	untreated	slide1	B4	M40	1126	-2.9837065	4.919861
293T	untreated	slide1	B4	M35	879	-1.7130448	4.680157
786O	NTC	slide1	A1	M45	89	2.2908423	-2.0091217
293T	untreated	slide1	B4	M5	1062	-1.6902727	6.595533
293T	untreated	slide1	B4	M24	1149	0.91180736	2.0825212
786O	ALY kd8	slide1	A2	M47	30	2.4973295	-4.2607794
293T	untreated	slide1	B4	M50	825	-1.4316509	2.272675
293T	untreated	slide1	B4	M12	1115	0.62189734	5.3458786
786O	SART1 kd4	slide1	B2	M17	76	2.5898182	-3.7257464
293T	untreated	slide1	B4	M54	712	-1.0281675	2.4443097
786O	SART1 kd6	slide1	A3	M23	47	2.2627728	-3.0009599
293T	untreated	slide1	B4	M5	1062	1.1805065	6.097039
293T	untreated	slide1	B4	M57	721	-1.5593833	2.54183
293T	untreated	slide1	B4	M2	1179	-1.0760387	4.577451
293T	untreated	slide1	B4	M2	1179	0.1991351	1.3331252
293T	untreated	slide1	B4	M1	914	-2.8624477	4.4679112
293T	untreated	slide1	B4	M40	1126	-0.4214887	5.7491374
293T	untreated	slide1	B4	M4	1128	-1.9254164	1.4883541
786O	FIBP kd7	slide1	A4	M56	67	3.1484246	-3.6083498
293T	untreated	slide1	B4	M1	914	-1.3107622	6.882604
293T	untreated	slide1	B4	M26	1052	-1.6621943	2.3110363
293T	untreated	slide1	B4	M2	1179	0.56436497	11.644961
786O	SART1 kd6	slide1	A3	M22	54	2.3011353	-3.2413232
786O	SART1 kd6	slide1	A3	M7	92	3.540093	-1.5718179
293T	untreated	slide1	B4	M32	1095	-1.9185451	5.8234787
293T	untreated	slide1	B4	M19	1151	-0.7165385	6.3247757
293T	untreated	slide1	B4	M51	782	-1.3344493	2.9327648
293T	untreated	slide1	B4	M19	1151	-0.77033514	6.422855
786O	SART1 kd4	slide1	B2	M13	64	3.0830166	-1.2198461
293T	untreated	slide1	B4	M48	968	2.8773718	5.459681
293T	untreated	slide1	B4	M21	901	0.19586657	5.838357
293T	untreated	slide1	B4	M19	1151	2.2678962	4.623545
786O	SART1 kd4	slide1	B2	M64	30	3.039545	-4.9602857
786O	FIBP kd7	slide1	A4	M4	65	2.6725352	-2.980179
293T	untreated	slide1	B4	M3	1245	-1.7641525	0.94841427
293T	untreated	slide1	B4	M51	782	3.1676254	3.27229
293T	untreated	slide1	B4	M9	856	-1.1895124	4.418416
786O	ALY kd8	slide1	A2	M30	122	3.1298518	-2.6955998
293T	untreated	slide1	B4	M12	1115	-1.4494699	5.231121
293T	untreated	slide1	B4	M10	1168	1.1709263	11.129397
293T	untreated	slide1	B4	M64	485	1.5473738	5.464648
293T	untreated	slide1	B4	M32	1095	0.27547973	4.9029408
293T	untreated	slide1	B4	M51	782	-0.018863937	2.0388017
786O	FIBP kd6	slide1	B3	M37	135	2.3744063	-1.6249943
786O	SART1 kd6	slide1	A3	M27	142	3.3408496	-1.3567983
293T	untreated	slide1	B4	M19	1151	-1.7942816	5.4396405
293T	untreated	slide1	B4	M28	826	-0.17315215	2.2543523
293T	untreated	slide1	B4	M31	1077	-1.9934094	6.4392047
