Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
293T	untreated	slide2	B4	M57	130	-0.7973951	11.367114
293T	untreated	slide2	B4	M3	982	-2.3435209	4.6817966
293T	untreated	slide2	B4	M27	630	-1.2085915	7.8166165
293T	untreated	slide2	B4	M59	169	-0.2619963	7.0613627
786O	TMEM259 kd5	slide2	B3	M29	133	2.9088802	6.136668
293T	untreated	slide2	B4	M27	630	-0.631544	3.0433154
293T	untreated	slide2	B4	M56	939	-1.742979	6.6209126
293T	untreated	slide2	B4	M16	1077	-2.8193948	5.9808974
293T	untreated	slide2	B4	M10	775	-1.8463693	6.4061365
293T	untreated	slide2	B4	M3	982	0.25517625	2.2202547
293T	untreated	slide2	B4	M2	933	-0.7560927	6.422759
293T	untreated	slide2	B4	M29	608	-3.6243157	5.2228475
293T	untreated	slide2	B4	M8	839	-3.7149353	4.453546
786O	DDX39A kd4	slide2	A2	M32	59	5.871455	5.8665037
786O	NTC	slide2	A1	M45	134	3.6423397	6.987718
293T	untreated	slide2	B4	M41	1003	-1.4709964	5.3866477
293T	untreated	slide2	B4	M38	590	-3.2986581	5.597578
293T	untreated	slide2	B4	M41	1003	-2.3785884	5.3527017
293T	untreated	slide2	B4	M21	850	-2.6421657	3.8958416
293T	untreated	slide2	B4	M20	873	1.7850603	4.320092
293T	untreated	slide2	B4	M16	1077	-0.6572442	2.5261068
786O	TMEM259 kd6	slide2	A4	M28	159	2.0744011	4.3160863
293T	untreated	slide2	B4	M52	302	-0.054740805	2.4144254
293T	untreated	slide2	B4	M30	750	1.4584551	6.487667
786O	TMEM259 kd6	slide2	A4	M20	211	4.818582	5.366305
293T	untreated	slide2	B4	M8	839	0.16956745	3.5601246
293T	untreated	slide2	B4	M11	809	-2.762551	4.550747
293T	untreated	slide2	B4	M16	1077	1.958075	6.315372
293T	untreated	slide2	B4	M53	245	-2.3657527	3.042984
786O	DDX39A kd4	slide2	A2	M18	51	5.494647	6.2981205
293T	untreated	slide2	B4	M12	745	-0.95084375	3.051036
293T	untreated	slide2	B4	M54	346	-1.3628558	5.19358
293T	untreated	slide2	B4	M44	450	-2.1130033	3.757916
293T	untreated	slide2	B4	M2	933	-0.019245403	6.717937
293T	untreated	slide2	B4	M49	492	-2.940617	6.636732
786O	SARNP kd9	slide2	A3	M19	39	6.283048	5.773748
786O	TMEM259 kd6	slide2	A4	M20	211	-2.7390668	5.5361676
293T	untreated	slide2	B4	M62	487	3.0077624	5.0483494
293T	untreated	slide2	B4	M16	1077	-1.1281183	4.3521523
293T	untreated	slide2	B4	M22	641	0.29017133	2.4187105
293T	untreated	slide2	B4	M13	873	-1.3508248	4.4116445
293T	untreated	slide2	B4	M12	745	-1.0169002	4.870469
293T	untreated	slide2	B4	M15	1038	1.707841	4.2961855
293T	untreated	slide2	B4	M46	446	1.7413049	4.5759172
293T	untreated	slide2	B4	M25	876	0.09924845	1.9902095
293T	untreated	slide2	B4	M23	834	-0.058418084	2.6840644
293T	untreated	slide2	B4	M6	647	-1.8028744	5.2182217
293T	untreated	slide2	B4	M15	1038	-2.193495	2.7341595
786O	DDX39A kd1	slide2	B1	M43	34	3.2990377	6.015662
293T	untreated	slide2	B4	M41	1003	-3.0728993	4.21399
293T	untreated	slide2	B4	M62	487	0.5977228	2.533436
293T	untreated	slide2	B4	M30	750	-3.3575811	4.9366145
293T	untreated	slide2	B4	M56	939	-0.853884	2.5615923
293T	untreated	slide2	B4	M34	548	-1.7962229	7.474758
293T	untreated	slide2	B4	M37	545	-1.010042	3.7392073
293T	untreated	slide2	B4	M39	595	-1.3399404	4.0219774
293T	untreated	slide2	B4	M20	873	-2.115555	5.632518
786O	NTC	slide2	A1	M35	67	3.5607738	5.6303573
293T	untreated	slide2	B4	M49	492	-1.131517	4.3630233
293T	untreated	slide2	B4	M15	1038	-2.3600209	3.5235882
786O	TMEM259 kd6	slide2	A4	M29	146	2.8478756	5.3419743
293T	untreated	slide2	B4	M11	809	-0.5178531	2.299045
786O	SARNP kd3	slide2	B2	M22	194	3.0217855	5.573923
786O	DDX39A kd4	slide2	A2	M21	65	5.224576	6.614095
293T	untreated	slide2	B4	M41	1003	-0.9702689	5.5625505
293T	untreated	slide2	B4	M45	349	0.5338558	2.6547883
293T	untreated	slide2	B4	M35	515	-1.678788	3.5859773
293T	untreated	slide2	B4	M5	906	0.9153891	4.1799064
293T	untreated	slide2	B4	M25	876	-1.3529874	7.683584
293T	untreated	slide2	B4	M1	955	-2.2660353	6.217889
293T	untreated	slide2	B4	M31	584	-0.9946598	1.9310545
293T	untreated	slide2	B4	M3	982	-3.3224404	4.3600326
293T	untreated	slide2	B4	M9	726	-0.5301245	7.1967626
786O	SARNP kd3	slide2	B2	M19	149	3.7098045	5.666976
786O	DDX39A kd1	slide2	B1	M30	101	4.5562534	4.837337
293T	untreated	slide2	B4	M38	590	-1.5766963	5.460198
293T	untreated	slide2	B4	M42	492	-1.5781524	7.9904857
293T	untreated	slide2	B4	M49	492	-0.53761256	3.871318
786O	SARNP kd3	slide2	B2	M27	167	3.2670932	5.7104225
293T	untreated	slide2	B4	M36	349	1.0128573	11.672754
293T	untreated	slide2	B4	M11	809	-0.73026145	3.9344633
293T	untreated	slide2	B4	M34	548	-3.135836	4.604745
786O	TMEM259 kd5	slide2	B3	M27	159	4.552477	6.8768373
293T	untreated	slide2	B4	M5	906	0.18086582	7.629017
786O	TMEM259 kd6	slide2	A4	M49	61	6.2984023	4.4268394
293T	untreated	slide2	B4	M47	504	-3.52633	3.4967797
786O	NTC	slide2	A1	M12	64	5.429674	6.078919
786O	NTC	slide2	A1	M36	92	3.2625635	4.5582433
786O	SARNP kd3	slide2	B2	M28	179	3.8416598	4.7080092
293T	untreated	slide2	B4	M20	873	-1.4334711	7.244762
786O	DDX39A kd4	slide2	A2	M4	64	7.0531745	4.8630643
293T	untreated	slide2	B4	M31	584	-0.79539454	1.8626277
786O	SARNP kd9	slide2	A3	M19	39	4.943763	6.574704
786O	SARNP kd3	slide2	B2	M22	194	2.5423572	12.203351
786O	TMEM259 kd5	slide2	B3	M22	70	3.489851	4.8207216
293T	untreated	slide2	B4	M40	761	-0.39990094	2.4452035
293T	untreated	slide2	B4	M19	597	0.01655554	6.495655
293T	untreated	slide2	B4	M62	487	-2.923804	6.2618914
786O	TMEM259 kd5	slide2	B3	M21	140	4.3440046	6.3786073
293T	untreated	slide2	B4	M31	584	-1.824592	3.2618067
293T	untreated	slide2	B4	M15	1038	2.1379259	12.044132
293T	untreated	slide2	B4	M11	809	-1.4914733	3.69901
293T	untreated	slide2	B4	M2	933	-3.6462748	4.6405015
293T	untreated	slide2	B4	M15	1038	-3.7862854	4.453598
293T	untreated	slide2	B4	M19	597	2.3236194	12.531433
293T	untreated	slide2	B4	M47	504	1.3849865	4.5618377
293T	untreated	slide2	B4	M22	641	-2.4059625	5.5258074
786O	TMEM259 kd5	slide2	B3	M22	70	5.306828	5.4132032
786O	NTC	slide2	A1	M48	79	5.9580173	6.0187006
293T	untreated	slide2	B4	M11	809	-3.5373938	5.3138013
293T	untreated	slide2	B4	M1	955	0.71021307	2.7167947
293T	untreated	slide2	B4	M28	689	-1.1477045	6.0948224
293T	untreated	slide2	B4	M56	939	1.155393	4.355738
293T	untreated	slide2	B4	M48	510	-1.1244308	7.414889
293T	untreated	slide2	B4	M4	882	-1.4813021	7.216554
786O	SARNP kd3	slide2	B2	M28	179	6.204643	4.7368026
293T	untreated	slide2	B4	M3	982	-1.9683061	4.1560364
293T	untreated	slide2	B4	M41	1003	0.028479435	3.5391202
293T	untreated	slide2	B4	M3	982	-0.3755904	3.8179724
786O	NTC	slide2	A1	M23	75	2.8398812	5.2488604
293T	untreated	slide2	B4	M25	876	-0.43973753	2.8722649
786O	SARNP kd3	slide2	B2	M37	120	6.0058713	5.141459
293T	untreated	slide2	B4	M11	809	-1.0890063	4.305341
293T	untreated	slide2	B4	M40	761	0.2976747	1.7955322
293T	untreated	slide2	B4	M22	641	-3.1913395	4.657476
293T	untreated	slide2	B4	M32	621	-1.1229876	2.0421035
293T	untreated	slide2	B4	M64	580	-0.05412072	2.1281981
786O	SARNP kd3	slide2	B2	M19	149	3.887317	7.117563
293T	untreated	slide2	B4	M43	443	0.21748425	6.5609536
786O	SARNP kd3	slide2	B2	M28	179	6.276297	4.7605443
786O	SARNP kd3	slide2	B2	M22	194	4.11703	5.8440113
293T	untreated	slide2	B4	M22	641	-0.4750866	7.7892895
293T	untreated	slide2	B4	M33	465	-0.8620712	2.8976967
293T	untreated	slide2	B4	M20	873	-3.53546	4.278645
786O	NTC	slide2	A1	M25	67	5.400646	5.1747994
293T	untreated	slide2	B4	M63	463	1.7109325	5.8090353
786O	SARNP kd3	slide2	B2	M21	175	4.368147	4.148629
293T	untreated	slide2	B4	M13	873	-1.1702526	7.4605126
786O	DDX39A kd1	slide2	B1	M28	167	4.198985	4.377994
